beta,alpha,gamma,delta,epsilon,psi,kappa1,kappa2,kappa3,omega,Ze,Zes,Zea,Zis,Zia,Zrp,v,phi,mu,N_0,E_init,t_init,loglik,loglik.se,rep,seed,start_beta,start_Einit,start_tinit
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,102.9060724426576,18326,-429.87032429639515,0.520644378801706,1,1001000,0.01,10,18326
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,22.567011730588227,18326,-474.1805476676101,0.8651267083981784,2,2001000,0.01,10,18326
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,67.19195774625007,18326,-441.40592408622376,4.128740911136112,3,3001000,0.01,10,18326
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,13.60389139090583,18326,-486.20559004791346,1.3481198724941879,4,4001000,0.01,10,18326
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,430.8929324276515,18326,-369.61186876361415,0.3466401531479568,5,5001000,0.01,10,18326
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,17.429803138214588,18326,-472.65858393601536,4.000905658176836,6,6001000,0.01,10,18326
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,11.649212440684865,18326,-490.0998449355916,2.288908518857874,7,7001000,0.01,10,18326
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,20.58575602612428,18326,-480.99696094009727,0.6388502205813267,8,8001000,0.01,10,18326
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,16.354827698040783,18326,-464.5366828999373,13.93776438035502,9,9001000,0.01,10,18326
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,881.2602650094757,18326,-369.6345350886677,0.2806607022195523,10,10001000,0.01,10,18326
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,51.02202276345552,18326,-448.75773670000973,1.8835699145291849,1,1001500,0.01,15,18326
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,20.25764200008447,18326,-477.8546460658396,0.7273414566630537,2,2001500,0.01,15,18326
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,355.80025085474733,18326,-369.92344070955653,0.16478309223828067,3,3001500,0.01,15,18326
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,426.3034364215869,18326,-369.73686099717776,0.19581489374236097,4,4001500,0.01,15,18326
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,33.67337392539761,18326,-469.01419806826175,0.46871611082994996,5,5001500,0.01,15,18326
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,17.01852118421049,18326,-477.179307473263,4.3321266605836914,6,6001500,0.01,15,18326
